sentence                                     ,tense
I had visited that museum before it closed down. ,past perfect
She is going to the gym later. ,future
I will have been living in this neighborhood for a decade by next summer. ,future perfect continuous
The team has won the championship. ,present perfect
He will have cooked dinner by the time we get home. ,future perfect
She is writing a novel. ,present continuous
I will be visiting my family for the holidays. ,future continuous
I had finished my homework before dinner. ,past perfect
They will be attending a conference next month. ,future continuous
She has been running for an hour. ,present perfect continuous
I am reading a fascinating book about history. ,present continuous
I will have saved enough money by the end of the year. ,future perfect
I am eating breakfast. ,present
She will go to the park. ,future
They played soccer yesterday. ,past
I will be going to the concert. ,future
She is eating lunch now. ,present continuous
He watched a movie last night. ,past
We are going to the beach this weekend. ,future
The sun rises in the east. ,present
I used to love chocolate. ,past
She will travel to Europe next year. ,future
He reads books every day. ,present
They had a picnic last summer. ,past
I am taking a break now. ,present
She will call you later in the day. ,future
He wrote a letter last week. ,past
We will visit the museum on Sunday. ,future
The train leaves at 9 AM. ,present
I will eat dinner in an hour. ,future
She danced all night at the party. ,past
I study French every evening. ,present
They will arrive in two hours. ,future
He cooked a delicious meal yesterday. ,past
She has been reading a book for hours. ,present perfect continuous
I will have finished my work by this time next week. ,future perfect
They had already left when I arrived. ,past perfect
We are going to have lunch in a few minutes. ,future
He will be playing basketball at 3 PM. ,future continuous
I had never been to that city before. ,past perfect
The conference starts in an hour. ,future
I am going to the gym later. ,future
She will have been working for 5 years in December. ,future perfect continuous
The kids are playing in the yard. ,present continuous
They were talking on the phone when I called. ,past continuous
I will go to the store after work. ,future
She has studied French for years. ,present perfect
He will have written the report by the end of the day. ,future perfect
We were watching a movie when the power went out. ,past continuous
I am currently reading a novel by my favorite author. ,present continuous
She will be traveling to Europe next summer. ,future continuous
I had completed my homework before dinner. ,past perfect
They will be dancing at the party tomorrow night. ,future continuous
I am eating breakfast. ,present
She will go to the park. ,future
They played soccer yesterday. ,past
I will be going to the concert. ,future
She is eating lunch now. ,present continuous
He watched a movie last night. ,past
We are going to the beach this weekend. ,future
The sun rises in the east. ,present
I used to love chocolate. ,past
She will travel to Europe next year. ,future
He reads books every day. ,present
They had a picnic last summer. ,past
I am taking a break now. ,present
She will call you later in the day. ,future
He wrote a letter last week. ,past
We will visit the museum on Sunday. ,future
The train leaves at 9 AM. ,present
I will eat dinner in an hour. ,future
She danced all night at the party. ,past
I study French every evening. ,present
They will arrive in two hours. ,future
He cooked a delicious meal yesterday. ,past
She has been reading a book for hours. ,present perfect continuous
I will have finished my work by this time next week. ,future perfect
They had already left when I arrived. ,past perfect
We are going to have lunch in a few minutes. ,future
I am currently reading a challenging novel. ,present continuous
"Next year, I will travel to Japan for the first time. ",future
"In 1990, I visited New York City for the first time. ",past
He will have been studying for five hours straight by the time the exam starts. ,future perfect continuous
"By the end of this week, I will have completed all my assignments. ",future perfect
"Last night, I had finished my work by the time my friends came over. ",past perfect
"In June, she will be taking a month-long trip to Europe. ",future continuous
"When I arrived, they had been working on the project for several hours. ",past perfect continuous
She has been practicing the violin diligently for the past year. ,present perfect continuous
The meeting starts at 9 AM tomorrow. ,future
"During my childhood, I used to love going to the amusement park. ",past
"By next month, I will have been working at this company for ten years. ",future perfect continuous
I am currently studying for my final exams. ,present continuous
"Next week, they will be moving to a new city. ",future continuous
"In 2000, he had already graduated from college. ",past perfect
They were playing soccer when it started raining. ,past continuous
She will have painted her house by the end of the summer. ,future perfect
The sun is setting in the west. ,present continuous
I will be attending a conference next week. ,future continuous
"Last summer, we were hiking in the mountains when we found the hidden waterfall. ",past continuous
I am writing a research paper for my class. ,present continuous
"In two weeks, we will have our family reunion. ",future
"Tomorrow, the sun will rise in a few hours. ",future
"I had lived in that city before, so I knew my way around. ",past perfect
They will have traveled to five countries by the end of the year. ,future perfect
The baby is sleeping peacefully in the crib. ,present continuous
I am going to the doctor this afternoon. ,future
She will have painted her house by the end of the summer. ,future perfect
They were hiking in the mountains when they found the treasure. ,past continuous
"I am learning to play the guitar, and it's quite challenging. ",present continuous
I will be visiting my grandparents next weekend. ,future continuous
"Last night, she had been practicing yoga for hours before the recital. ",past perfect continuous
I am currently working on a new project for the company. ,present continuous
"By the time I get home, he will have cooked dinner. ",future perfect
They were playing football when it started raining. ,past continuous
I am working on a complex project for the client. ,present continuous
I will be moving to a new apartment next month. ,future continuous
"She has been learning Spanish for a year, and she's getting better. ",present perfect continuous
I am reading a fascinating book about history. ,present continuous
I will have saved enough money by the end of the year to buy a car. ,future perfect
I am eating breakfast right now. ,present continuous
She will go to the park in the afternoon. ,future
"They played soccer yesterday, and they won the game. ",past
I will be going to the concert this evening. ,future
"She is eating lunch now, so she can't talk. ",present continuous
"He watched a movie last night, and it was a thriller. ",past
"We are going to the beach this weekend, and we can't wait. ",future
The sun rises in the east every morning. ,present
I used to love chocolate when I was a child. ,past
She will travel to Europe next year for her vacation. ,future
He reads books every day to expand his knowledge. ,present
"They had a picnic in the park last summer, and it was so much fun. ",past
I am taking a break now to relax. ,present
"She will call you later, so please be available. ",future
He wrote a letter last week to his best friend. ,past
"We will visit the museum on Sunday, and it's an exciting plan. ",future
The train leaves at 9 AM every day. ,present
"I will eat dinner in an hour, so I'm quite hungry now. ",future
"She danced all night at the party, and she's an excellent dancer. ",past
I study French every evening to improve my language skills. ,present
"They will arrive at the airport in two hours, so we should pick them up. ",future
"He cooked a delicious meal for us yesterday, and we enjoyed it. ",past
"She has been reading a book for hours, and she's almost done with it. ",present perfect continuous
"I will have finished my work by the end of the week, so I can relax. ",future perfect
"They had already left when I arrived, so I missed them. ",past perfect
"We are going to have lunch in a few minutes, and I'm hungry. ",future
"He will be playing basketball at 3 PM, so we can join him. ",future continuous
"I had never seen that movie before, but I watched it last night. ",past perfect
"The conference begins in an hour, and I need to prepare my presentation. ",future
I am going to the gym later today to work out. ,future
"She will have been working for 5 years in December, and she deserves a promotion. ",future perfect continuous
"The kids are playing in the yard, and they're having a great time. ",present continuous
"They were talking on the phone when I called, and they couldn't answer. ",past continuous
"I will have met my career goals by the end of the decade, and I'm determined to succeed. ",future perfect
"They will be dancing at the party tomorrow night, and it's going to be a blast. ",future continuous
"I had attended the conference before, but this year's event was exceptional. ",past perfect
"They will have adopted a puppy by the end of the month, and they're excited. ",future perfect
"The flowers are blooming in the garden, and it's a beautiful sight. ",present continuous
I am going to the gym this evening to stay fit. ,future
"I will have been working at this company for 10 years in June, and it's been a rewarding experience. ",future perfect continuous
"The birds are chirping in the garden, and it's a sign of spring. ",present continuous
"He will be giving a presentation tomorrow, so he's preparing the slides. ",future continuous
"I had visited that museum before, but it was renovated recently. ",past perfect
"She will have painted the room by the weekend, and it will look fantastic. ",future perfect
"They were playing football when it started raining, so they had to stop the game. ",past continuous
"I am working on a project, and it's challenging but interesting. ",present continuous
"I will be moving to a new apartment next month, and I'm excited about the change. ",future continuous
"She has been learning Spanish for a year, and she can hold conversations now. ",present perfect continuous
"I am reading a fascinating book about science, and it's expanding my knowledge. ",present continuous
"I will have saved enough money by the end of the year to buy a car, and it's a significant goal. ",future perfect
"I am eating breakfast, and I'm enjoying my meal. ",present continuous
"She will go to the park later in the day, and it's her favorite place. ",future
"They played soccer yesterday, and they had a great time. ",past
"I will be going to the concert this evening, and I can't wait to hear the music. ",future
"She is eating lunch now, and she's trying a new recipe. ",present continuous
"He watched a movie last night, and it was a romantic film. ",past
"We are going to the beach this weekend, and we'll swim in the ocean. ",future
"The sun rises in the east, and it's a beautiful sight every morning. ",present
"I used to love chocolate, but now I prefer vanilla ice cream. ",past
"She will travel to Europe next year, and she's planning the itinerary. ",future
She had visited the Louvre Museum in Paris before it closed down for renovations,past perfect
They will have opened a new branch of their restaurant by next year,future perfect
The flowers will be in full bloom in the garden next month,future continuous
"I have been taking Spanish lessons for months, and I'm getting better",present perfect continuous
I am attending an important meeting this afternoon,present continuous
He will have graduated from medical school by the end of the decade,future perfect
They were enjoying a picnic in the park when it suddenly started raining,past continuous
I am currently researching the impact of climate change on polar bears,present continuous
I will be traveling to Italy for a culinary tour in the spring,future continuous
She has been playing the violin for years and is now a skilled musician,present perfect continuous
"I am learning to speak Mandarin, and it's quite challenging",present continuous
I will have completed my assignment by the end of the week,future perfect
He will be giving a speech at the conference tomorrow,future continuous
I had already finished my dinner when the phone rang,past perfect
They will have adopted a rescue dog by the end of the month,future perfect
"The birds are singing in the garden, and it's a beautiful morning",present continuous
I am heading to the gym later in the evening for a workout,future
I will have been working at this company for 10 years in June,future perfect continuous
"She will have painted the room by the weekend, and it will look fantastic",future perfect
"They were playing soccer when it started raining, so the game got canceled",past continuous
I am working on a complex project for a high-profile client,present continuous
I am currently reading a thrilling mystery novel,present continuous
"I will be moving to a new apartment next month, and it's in a great location",future continuous
She has been practicing yoga daily to improve her flexibility,present perfect continuous
"I am learning to play the saxophone, and it's a fun challenge",present continuous
"I will have finished reading the entire series by next week, and it's a great story",future perfect
They will be dancing at a dance competition tomorrow night,future continuous
"I had attended the event before, and it was a huge success",past perfect
She will have traveled to five countries by the end of the year,future perfect
"The baby is sleeping peacefully in the crib, and it's adorable",present continuous
I am going to the doctor this afternoon for a check-up,future
I will have saved enough money for a new car by the end of the year,future perfect
"I am eating breakfast, and I'm enjoying a healthy meal",present continuous
"She will go to the park later in the day, and she's bringing her dog",future
"They played soccer yesterday, and they won the match",past
"I will be going to the concert this evening, and I can't wait to hear the band",future
"She is eating lunch now, and she's trying a new recipe",present continuous
"He watched a classic movie last night, and it was entertaining",past
"We are going to the beach this weekend, and we plan to build sandcastles",future
"The sun rises in the east every morning, and it's a stunning view",present
"I used to love chocolate as a child, but now I prefer vanilla ice cream",past
She will travel to Europe next year for a well-deserved vacation,future
He reads books every day to gain knowledge,present
"They had a picnic in the park last summer, and they enjoyed delicious food",past
"I am taking a break now, and I'm relaxing with a cup of tea",present
"She will call you later, so be ready to answer the phone",future
He wrote a heartfelt letter to his best friend last week,past
"We will visit the museum on Sunday, and we're looking forward to it",future
"The train leaves at 9 AM every day, and it's always punctual",present
"I will eat dinner in an hour, and I'm preparing a special meal",future
"She danced all night at the party, and she's an excellent dancer",past
"I study French every evening, and I'm making good progress",present
"They will arrive in two hours, so we should get ready to pick them up",future
"He cooked a delicious meal for us yesterday, and we savored every bite",past
"She has been reading a book for hours, and she's almost finished it",present perfect continuous
"I will have finished my work by the end of the day, and I can relax",future perfect
"They had already left when I arrived, and I missed saying goodbye",past perfect
"We are going to have lunch in a few minutes, and the food smells delicious",future
"He will be playing basketball at 3 PM, and we're excited to watch the game",future continuous
"I had never seen that movie before, but I watched it last night, and it was fantastic",past perfect
"The conference begins in an hour, and I'm reviewing my presentation",future
"I am going to the gym later today, and I want to stay fit",future
"She will have been working for 5 years in December, and she deserves recognition",future perfect continuous
"The kids are playing in the yard, and they're having a great time",present continuous
"They were talking on the phone when I called, and they couldn't answer",past continuous
"I will have met my career goals by the end of the decade, and I'm determined to succeed",future perfect
"They will be dancing at the party tomorrow night, and it's going to be a blast",future continuous
"I had attended the conference before, but this year's event exceeded my expectations",past perfect
"They will have adopted a puppy by the end of the month, and they're thrilled",future perfect
"The flowers are blooming in the garden, and it's a lovely sight",present continuous
I am going to the gym this evening to work out and stay in shape,future
"I will have been working at this company for 10 years in June, and it's been a rewarding journey",future perfect continuous
"The birds are chirping in the garden, and it's a sign of spring",present continuous
"He will be giving a presentation tomorrow, so he's preparing his slides",future continuous
"I had visited that museum before, and it was impressive, but it's even better now",past perfect
"She will have painted the room by the weekend, and it will look fresh and bright",future perfect
"They were playing football when it started raining, so they had to postpone the game",past continuous
"I am working on a project for a prestigious client, and it's a big responsibility",present continuous
"I will be moving to a new apartment next month, and I'm excited about the change",future continuous
"She has been learning Spanish for a year, and she's becoming fluent",present perfect continuous
"I am reading a fascinating book about history, and it's expanding my knowledge",present continuous
"I will have saved enough money by the end of the year to buy a car, and it's a significant goal",future perfect
"I am eating breakfast, and it's a delicious and nutritious meal",present continuous
"She is going to the doctor this afternoon for a check-up, and it's a routine appointment",future
"I will have finished writing the report by the end of the day, and it will be ready for submission",future perfect
They will have hiked all the major trails in the national park by the end of the summer,future perfect
"The chef is preparing a delectable five-course meal for the guests, and it will be a culinary delight",present continuous
"I am going to meet my friends for a picnic in the park, and it's a sunny day",future
"He will have completed his MBA degree by the end of this semester, and he's excited about the prospects",future perfect
"I am running a marathon to raise awareness for a charitable cause, and it's a noble endeavor",present continuous
"We will be traveling to a remote island for a much-needed vacation, and it will be a peaceful retreat",future continuous
"She has been working on her art project for months, and it's a labor of love",present perfect continuous
"I am studying quantum physics for my research paper, and it's a complex subject",present continuous
"I will have achieved all my career goals by the end of my career, and I'm dedicated to success",future perfect
They were dancing at the wedding when the music suddenly stopped,past continuous
"I am currently researching sustainable energy solutions, and it's a pressing issue",present continuous
"I will be visiting my family for the holidays, and it's a special time of the year",future continuous
"She had been practicing piano for hours before the recital, and her dedication paid off",past perfect continuous
"I am going to the concert on Friday, and it's a sold-out event",future
"They will have been living in that house for a decade next year, and it's their long-time home",future perfect continuous
"The team has won the championship, and they're celebrating their victory",present perfect
"He will have cooked dinner by the time we get home, and it will be a delicious meal",future perfect
"She is writing a novel, and it's a work of fiction",present continuous
"I will be visiting my family for the holidays, and it's a time for reunions",future continuous
"I had finished my homework before dinner, and I felt accomplished",past perfect
"They will be attending a conference next month, and it's an important event for their industry",future continuous
"She has been running for an hour, and she's getting fit",present perfect continuous
"I am meeting my friends for lunch, and we're going to a new restaurant",present continuous
"I will have completed the project by the end of the week, and it's a major milestone",future perfect
"They were singing when I entered the room, and it was a joyous moment",past continuous
"She is going to propose to her girlfriend tomorrow, and it's a big step in their relationship",future
"I will have been working at this company for 10 years in June, and it's a significant anniversary",future perfect continuous
"The birds are singing in the garden, and it's a sign of spring",present continuous
"He will be giving a presentation tomorrow, and he's rehearsing his speech",future continuous
"I had visited that museum before, and it's a cultural gem",past perfect
"She will have painted the room by the weekend, and it will look fresh and bright",future perfect
"They were playing football when it started raining, and they had to take cover",past continuous
"I am working on a project for the community, and it's a rewarding experience",present continuous
"I will be moving to a new apartment next month, and it's in a vibrant neighborhood",future continuous
"She has been learning Spanish for a year, and she's becoming fluent in the language",present perfect continuous
"I am reading a fascinating book about history, and it's broadening my understanding",present continuous
"I will have saved enough money by the end of the year to buy a car, and it's an important goal",future perfect
"I am eating breakfast, and it's a delicious and nutritious meal",present continuous
"She is going to the doctor this afternoon for a check-up, and it's a routine appointment",future
"I will have finished writing the report by the end of the day, and it will be ready for submission",future perfect
"They will have hiked all the major trails in the national park by the end of the summer, and it's a remarkable achievement",future perfect
"The chef is preparing a delectable five-course meal for the guests, and it will be a culinary masterpiece",present continuous
"I am going to meet my friends for a picnic in the park, and it's a sunny day",future
"He will have completed his MBA degree by the end of this semester, and he's excited about his future career",future perfect
"I am running a marathon to raise awareness for a charitable cause, and it's a noble endeavor",present continuous
"We will be traveling to a remote island for a much-needed vacation, and it will be a peaceful retreat",future continuous
"She has been working on her art project for months, and it's a labor of love",present perfect continuous
"I am studying quantum physics for my research paper, and it's a complex subject",present continuous
"I will have achieved all my career goals by the end of my career, and I'm dedicated to success",future perfect
They were dancing at the wedding when the music suddenly stopped,past continuous
"I am currently researching sustainable energy solutions, and it's a pressing issue",present continuous
"I will be visiting my family for the holidays, and it's a special time of the year",future continuous
"She had been practicing piano for hours before the recital, and her dedication paid off",past perfect continuous
"I am going to the concert on Friday, and it's a sold-out event",future
"They will have been living in that house for a decade next year, and it's their long-time home",future perfect continuous
"The team has won the championship, and they're celebrating their victory",present perfect
"He will have cooked dinner by the time we get home, and it will be a delicious meal",future perfect
"She is writing a novel, and it's a work of fiction",present continuous
"I will be visiting my family for the holidays, and it's a time for reunions",future continuous
"I had finished my homework before dinner, and I felt accomplished",past perfect
"They will be attending a conference next month, and it's an important event for their industry",future continuous
"She has been running for an hour, and she's getting fit",present perfect continuous
"I am meeting my friends for lunch, and we're going to a new restaurant",present continuous
"I will have completed the project by the end of the week, and it's a significant achievement",future perfect
"They were singing when I entered the room, and it was a joyous moment",past continuous
"She is going to propose to her girlfriend tomorrow, and it's a big step in their relationship",future
"I will have been working at this company for 10 years in June, and it's a significant milestone",future perfect continuous
"The birds are chirping in the garden, and it's a sign of spring",present continuous
"He will be giving a presentation tomorrow, and he's rehearsing his speech",future continuous
"I had visited that museum before, and it's a cultural gem",past perfect
"She will have painted the room by the weekend, and it will look fresh and bright",future perfect
"They were playing football when it started raining, and they had to take cover",past continuous
"I am working on a project for the community, and it's a rewarding experience",present continuous
"I will be moving to a new apartment next month, and it's in a vibrant neighborhood",future continuous
"She has been learning Spanish for a year, and she's becoming fluent in the language",present perfect continuous
"I am reading a fascinating book about history, and it's broadening my understanding",present continuous
"I will have saved enough money by the end of the year to buy a car, and it's an important goal",future perfect
"I am eating breakfast, and it's a delicious and nutritious meal",present continuous
"She is going to the doctor this afternoon for a check-up, and it's a routine appointment",future
"I will have finished writing the report by the end of the day, and it will be ready for submission",future perfect
"They will have hiked all the major trails in the national park by the end of the summer, and it's a remarkable achievement",future perfect
"The chef is preparing a delectable five-course meal for the guests, and it will be a culinary masterpiece",present continuous
"I am going to meet my friends for a picnic in the park, and it's a sunny day",future
"He will have completed his MBA degree by the end of this semester, and he's excited about his future career",future perfect
"I am running a marathon to raise awareness for a charitable cause, and it's a noble endeavor",present continuous
"We will be traveling to a remote island for a much-needed vacation, and it will be a peaceful retreat",future continuous
"She has been working on her art project for months, and it's a labor of love",present perfect continuous
"I am studying quantum physics for my research paper, and it's a complex subject",present continuous
"I will have achieved all my career goals by the end of my career, and I'm dedicated to success",future perfect
They were dancing at the wedding when the music suddenly stopped,past continuous
"I am currently researching sustainable energy solutions, and it's a pressing issue",present continuous
"I will be visiting my family for the holidays, and it's a special time of the year",future continuous
"She had been practicing piano for hours before the recital, and her dedication paid off",past perfect continuous
"I am going to the concert on Friday, and it's a sold-out event",future
"They will have been living in that house for a decade next year, and it's their long-time home",future perfect continuous
"The team has won the championship, and they're celebrating their victory",present perfect
"He will have cooked dinner by the time we get home, and it will be a delicious meal",future perfect
"She is writing a novel, and it's a work of fiction",present continuous
"I will be visiting my family for the holidays, and it's a time for reunions",future continuous
"I had finished my homework before dinner, and I felt accomplished",past perfect
"They will be attending a conference next month, and it's an important event for their industry",future continuous
"She has been running for an hour, and she's getting fit",present perfect continuous
"I am meeting my friends for lunch, and we're going to a new restaurant",present continuous
"I will have completed the project by the end of the week, and it's a significant achievement",future perfect
"They were singing when I entered the room, and it was a joyous moment",past continuous
"She is going to propose to her girlfriend tomorrow, and it's a big step in their relationship",future
"I will have been working at this company for 10 years in June, and it's a significant milestone",future perfect continuous
She was reading a book when I called,past continuous
I am planning a trip to the mountains next summer,future
They have finished the project ahead of schedule,present perfect
He will be working on his novel for the next few months,future continuous
The kids had played in the park before the rain started,past perfect
I will have completed my degree by the end of this academic year,future perfect
The sun rises in the east every morning,present
She used to live in the countryside before moving to the city,past
We are going to visit the museum this weekend,future
I will be going to the gym later in the evening,future continuous
She has been practicing the piano for hours,present perfect continuous
I am currently working on a challenging project,present continuous
I will have finished reading the novel by tomorrow,future perfect
He will be launching a new product next month,future continuous
I had arrived at the airport before they did,past perfect
They will have adopted a pet by the end of the month,future perfect
The flowers are blooming in the garden,present continuous
I am heading to the beach this evening,future
I will have been working at this company for 10 years by next summer,future perfect continuous
The birds were singing outside my window when I woke up,past continuous
She is going to propose to her partner tomorrow,future
I will have saved enough money for a car by the end of the year,future perfect
I am currently writing a novel,present continuous
She will be traveling to Paris next summer,future continuous
I had never visited that museum before today,past perfect
The conference is starting in an hour,future
I am heading to the gym later today,future
She will have been working at the company for five years in December,future perfect continuous
The kids are playing in the yard,present continuous
They were talking on the phone when I called,past continuous
I will go to the store after work,future
She has studied French for years,present perfect
They played soccer yesterday,past
I will be going to the concert this evening,future
She is eating lunch now,present continuous
He watched a movie last night,past
We are going to the beach this weekend,future
The sun rises in the east,present
I used to love chocolate,past
She will travel to Europe next year,future
He reads books every day,present
They had a picnic in the park last summer,past
I am taking a break now,present
She will call you later,future
He wrote a letter last week,past
We will visit the museum on Sunday,future
The train leaves at 9 AM,present
I will eat dinner in an hour,future
She danced all night at the party,past
I study French every evening,present
They will arrive in two hours,future
He cooked a delicious meal yesterday,past
She has been reading a book for hours,present perfect continuous
I will have finished my work by the end of the week,future perfect
They had already left when I arrived,past perfect
We are going to have lunch in a few minutes,future
He will be playing basketball at 3 PM,future continuous
I had never been to that city before,past perfect
The conference starts in an hour,future
I am going to the gym later,future
She will have been working for 5 years in December,future perfect continuous
The kids are playing in the yard,present continuous
They were skiing in the mountains last winter,past
She will visit her grandparents during the holidays,future
I have been working on this project for months,present perfect continuous
I will go shopping after work,future
He will have graduated from college next spring,future perfect
They had been traveling for weeks when they finally returned home,past perfect continuous
She is participating in a marathon,present continuous
We will have our family reunion next week,future
The sun will rise in a few hours,future
I am currently studying for exams,present continuous
They will have completed the construction by the end of the month,future perfect
She will be presenting her research at the conference tomorrow,future continuous
I had lived in that city before,past perfect
I will have traveled to five countries by the end of the year,future perfect
The baby is sleeping peacefully,present continuous
I am going to the doctor this afternoon,future
She will have painted her house by the end of the summer,future perfect
They were hiking in the mountains when they found the treasure,past continuous
I am learning to play the guitar,present continuous
I will be visiting my grandparents next weekend,future continuous
She has been practicing yoga for years,present perfect continuous
I am currently working on a new project,present continuous
I will have finished reading the novel by tomorrow,future perfect
He will be presenting his art exhibition next month,future continuous
I had attended the conference before,past perfect
They will have adopted a puppy by the end of the month,future perfect
The flowers are blooming in the garden,present continuous
I am going to the gym this evening,future
I will have been working at this company for 10 years in June,future perfect continuous
The birds are chirping in the garden,present continuous
He will be giving a presentation tomorrow,future continuous
I had visited that museum before,past perfect
She will have painted the room by the weekend,future perfect
They were playing football when it started raining,past continuous
I am working on a project,present continuous
I will be moving to a new apartment next month,future continuous
She has been learning Spanish for a year,present perfect continuous
I am reading a fascinating book,present continuous
I will have saved enough money by the end of the year,future perfect
I am eating breakfast,present continuous
She will go to the park,future
They played soccer yesterday,past
I will be going to the concert,future
She is eating lunch now,present continuous
He watched a movie last night,past
We are going to the beach this weekend,future
The sun rises in the east,present
I used to love chocolate,past
She will travel to Europe next year,future
He reads books every day,present
They had a picnic in the park last summer,past
I am taking a break now,present
She will call you later,future
He wrote a letter last week,past
We will visit the museum on Sunday,future
The train leaves at 9 AM,present
I will eat dinner in an hour,future
She danced all night at the party,past
I study French every evening,present
They will arrive in two hours,future
He cooked a delicious meal yesterday,past
She has been reading a book for hours,present perfect continuous
I will have finished my work by the end of the week,future perfect
They had already left when I arrived,past perfect
We are going to have lunch in a few minutes,future
He will be playing basketball at 3 PM,future continuous
I had never been to that city before,past perfect
The conference starts in an hour,future
I am going to the gym later,future
She will have been working for 5 years in December,future perfect continuous
The kids are playing in the yard,present continuous
They were skiing in the mountains last winter,past
She will visit her grandparents during the holidays,future
I have been working on this project for months,present perfect continuous
I will go shopping after work,future
He will have graduated from college next spring,future perfect
They had been traveling for weeks when they finally returned home,past perfect continuous
She is participating in a marathon,present continuous
We will have our family reunion next week,future
The sun will rise in a few hours,future
I am currently studying for exams,present continuous
They will have completed the construction by the end of the month,future perfect
She will be presenting her research at the conference tomorrow,future continuous
I had lived in that city before,past perfect
I will have traveled to five countries by the end of the year,future perfect
The baby is sleeping peacefully,present continuous
I am going to the doctor this afternoon,future
She will have painted her house by the end of the summer,future perfect
They were hiking in the mountains when they found the treasure,past continuous
I am learning to play the guitar,present continuous
I will be visiting my grandparents next weekend,future continuous
She has been practicing yoga for years,present perfect continuous
I am currently working on a new project,present continuous
I will have finished reading the novel by tomorrow,future perfect
He will be presenting his art exhibition next month,future continuous
I had attended the conference before,past perfect
They will have adopted a puppy by the end of the month,future perfect
The flowers are blooming in the garden,present continuous
I am going to the gym this evening,future
I will have been working at this company for 10 years in June,future perfect continuous
The birds are chirping in the garden,present continuous
He will be giving a presentation tomorrow,future continuous
I had visited that museum before,past perfect
She will have painted the room by the weekend,future perfect
They were playing football when it started raining,past continuous
I am working on a project,present continuous
I will be moving to a new apartment next month,future continuous
She has been learning Spanish for a year,present perfect continuous
I am reading a fascinating book,present continuous
I will have saved enough money by the end of the year,future perfect
I am eating breakfast,present continuous
She will go to the park,future
They played soccer yesterday,past
I will be going to the concert,future
She is eating lunch now,present continuous
He watched a movie last night,past
We are going to the beach this weekend,future
The sun rises in the east,present
I used to love chocolate,past
She will travel to Europe next year,future
He reads books every day,present
They had a picnic in the park last summer,past
I am taking a break now,present
She will call you later,future
He wrote a letter last week,past
We will visit the museum on Sunday,future
The train leaves at 9 AM,present
I will eat dinner in an hour,future
She danced all night at the party,past
I study French every evening,present
They will arrive in two hours,future
He cooked a delicious meal yesterday,past
She has been reading a book for hours,present perfect continuous
I will have finished my work by the end of the week,future perfect
They had already left when I arrived,past perfect
We are going to have lunch in a few minutes,future
He will be playing basketball at 3 PM,future continuous
I had never been to that city before,past perfect
The scientists are conducting experiments in the lab,present continuous
"Next year, I will travel to Asia for a family vacation",future
"In 1999, I visited the Grand Canyon for the first time",past
She will have been teaching for 20 years by the end of this semester,future perfect continuous
"By the end of the day, I will have completed all my tasks",future perfect
"Last night, I had already finished reading the book",past perfect
"In July, she will be traveling to Australia for a research project",future continuous
"When I arrived, they had been practicing music for hours",past perfect continuous
She has been working on her art project since this morning,present perfect continuous
The concert starts at 8 PM tomorrow,future
"During my childhood, I used to love playing in the park",past
"By next month, I will have been working at this company for a decade",future perfect continuous
I am currently studying for my final exams,present continuous
"Next week, they will be moving to a new house",future continuous
"In 2001, he had already graduated from college",past perfect
They were hiking in the mountains when it started snowing,past continuous
She will have finished her degree by the end of the year,future perfect
The sun is shining brightly in the sky,present continuous
I will be attending a wedding next weekend,future continuous
"Last summer, we were exploring the Amazon rainforest",past continuous
I am working on a new project for my client,present continuous
"By the end of this month, I will have saved enough money for a new car",future perfect
I am currently having lunch at a local restaurant,present continuous
She will be traveling to Europe for her summer vacation,future
He will have completed his research by the end of the semester,future perfect
I had already submitted my application when they called me,past perfect
We will be celebrating our anniversary on a cruise next month,future continuous
She has been writing her novel for weeks,present perfect continuous
I am designing a new website for a small business,present continuous
I will have finished writing my book by the end of this year,future perfect
He will be giving a presentation at the conference next week,future continuous
I had attended a similar event in the past,past perfect
They will have adopted a pet by the end of this month,future perfect
The flowers are blooming in the garden,present continuous
I am going to the gym later this evening,future
I will have been working at this company for 10 years by next June,future perfect continuous
The birds were chirping outside when I woke up,past continuous
He will be presenting his art exhibition tomorrow,future continuous
I had lived in that city before moving to a new place,past perfect
They will have traveled to five countries by the end of the year,future perfect
The baby is sleeping soundly in the crib,present continuous
I am going to the doctor this afternoon for a check-up,future
She will have painted her house by the end of the summer,future perfect
They were hiking in the mountains when they found the hidden waterfall,past continuous
"I am learning to play the guitar, and it's quite challenging",present continuous
I will be visiting my grandparents next weekend,future continuous
"Last night, she had been practicing yoga for hours before the recital",past perfect continuous
I am currently working on a new project for the company,present continuous
"By the time I get home, he will have cooked dinner",future perfect
They were playing football when it started raining,past continuous
I am working on a challenging project for the client,present continuous
I will be moving to a new apartment next month,future continuous
"She has been learning Spanish for a year, and she's getting better",present perfect continuous
I am studying quantum physics for my research paper,present continuous
They were playing chess when I called,past continuous
I will go to the store after work,future
She has studied French for years,present perfect
We were watching a movie when the power went out,past continuous
I am currently reading a complex scientific paper,present continuous
They will have completed their training by next month,future perfect continuous
He had been working on his novel for years before he published it,past perfect continuous
The sun sets in the west every evening,present
She will be attending a conference in Paris next year,future continuous
"Last summer, we were exploring ancient ruins in Greece",past continuous
I am working on a top-secret project for the government,present continuous
"By the end of this week, I will have saved enough money for a vacation",future perfect
I am currently eating lunch in the cafeteria,present continuous
She will be traveling to South America for her sabbatical,future continuous
They had just finished their lunch when the earthquake struck,past perfect
